,postag,s_id,w_id,word,0
631,DT,59.0,16.0,a,491473
632,NN,59.0,17.0,lot,12244
633,RBR,59.0,18.0,better,17522
634,IN,59.0,19.0,because,26920
635,IN,59.0,20.0,of,439756
636,DT,59.0,21.0,the,1014971
637,NN,59.0,22.0,way,24085
638,PRP,59.0,23.0,he,90071
639,VBZ,59.0,24.0,responds,119
640,CC,59.0,25.0,and,494087
641,NNS,59.0,26.0,converses,0
642,IN,59.0,27.0,with,133897
643,PRP,59.0,28.0,them,24659
644,DT,60.0,0.0,Any,22616
645,NN,60.0,1.0,chance,3091
646,PRP,60.0,2.0,I,258405
647,VBP,60.0,3.0,get,27918
648,TO,60.0,4.0,to,407216
649,VB,60.0,5.0,see,34646
650,NNP,60.0,6.0,Ed,1021
651,NNP,60.0,7.0,Norton,81
652,IN,60.0,8.0,in,282877
653,DT,60.0,9.0,the,1014971
654,NN,60.0,10.0,theater,2314
655,IN,61.0,0.0,As,139962
656,IN,61.0,1.0,for,133639
657,PRP,61.0,2.0,me,31848
658,RB,61.0,3.0,i,258405
659,VBP,61.0,4.0,have,83569
660,DT,61.0,5.0,a,491473
661,NN,61.0,6.0,sort,4360
662,NN,61.0,7.0,crush,264
663,IN,61.0,8.0,on,101865
664,NNP,61.0,9.0,Mark,1914
665,NNP,61.0,10.0,Whalberg,0
666,NNP,62.0,0.0,David,3149
667,NNP,62.0,1.0,Strathairn,47
668,VBZ,62.0,2.0,is,321694
669,RB,62.0,3.0,quite,11113
670,JJ,62.0,4.0,good,44866
671,IN,62.0,5.0,in,282877
672,NN,62.0,6.0,everything,6994
673,PRP,63.0,0.0,I,258405
674,VBP,63.0,1.0,see,34646
675,JJ,63.0,2.0,Johnny,863
676,NNP,63.0,3.0,Depp,86
677,VBZ,63.0,4.0,makes,12815
678,DT,63.0,5.0,a,491473
679,RB,63.0,6.0,rather,8096
680,JJ,63.0,7.0,frequent,260
681,NN,63.0,8.0,appearance,1390
682,IN,63.0,9.0,in,282877
683,DT,63.0,10.0,the,1014971
684,NN,63.0,11.0,above,2532
685,NNS,63.0,12.0,lists,113
686,NNP,64.0,0.0,Hugh,303
687,NNP,64.0,1.0,Jackman,75
688,VBZ,64.0,2.0,has,50800
689,VBN,64.0,3.0,awesome,1483
690,NNS,64.0,4.0,movies,23125
691,NNP,65.0,0.0,Leonardo,110
692,NNP,65.0,1.0,DiCaprio,105
693,NNP,66.0,0.0,Al,983
694,NNP,66.0,1.0,Pacino,449
695,NNP,67.0,0.0,Robert,3094
696,NNP,67.0,1.0,De,2366
697,NNP,67.0,2.0,Niro,324
698,NNP,68.0,0.0,Marlon,136
699,NNP,68.0,1.0,Brando,298
700,NNP,69.0,0.0,Jack,2787
701,NNP,69.0,1.0,Nicholson,281
702,NNP,70.0,0.0,James,3087
703,NNP,70.0,1.0,Stewart,861
704,NNP,71.0,0.0,Edward,658
705,NNP,71.0,1.0,Norton,81
706,VBZ,71.0,2.0,is,321694
707,DT,71.0,3.0,a,491473
708,JJ,71.0,4.0,brilliant,3488
709,NN,71.0,5.0,actor,6992
710,CC,71.0,6.0,and,494087
